 ;comment_text;Rhetoric;Main targeted group;Secondary targeted group;Pejorative framing of communism;Vulgar language
ČT;🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;moderátor je opravdu nezaujatý 😁😁😁😁😁😁😁😁😁😁😁😁😁..........................😁;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Manipulace v přímém přenosu¡!!!!!!!!! A lidi rozhodujete se. Bude otázka na prokázané pochybení některých v minulosti?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Se dneska krásné ukazuje, či je která figurka mezi lídry na prezidenta. Dost mě mrzí, že outsideři mají slabé preference a prostor.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Co si ten Řezníček o sobě myslí, jak setřel Baštu, to je hnus ........................................................................................................................................;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Česká televize vede opět debatu jako propagandistickou kampaň vladní koalice. Otazky naprosto desné a mimo mísu...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vláďa Šik Na co byste se kandidátů zeptal vy?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Moderátor se ani nesnaží skrývat, že je zaujatý, totální neprofesionálnost 🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pavel byl až do roku 1991 ve Varšavské smlouvě pod vojenským velením SSSR v Moskvě!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nevolitelná soudružka plagiátorka,k tomu se nebude vyjadřovat ,hraje na city ,je mimo ,Lukaši ty také,přehoď kolej z trojky to odjíždí ,tak jeď a hodně daleko !!!!!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A nechápu, proč trojslepenec (je jedno jestli tam Babiš je nebo ne), ale  umístili je vedle sebe, takže to na mě působí, jako kdyby je nadřadili;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Už to začlo tím, že ČT byla jediná, kdo dělal rozhovory s kandidáty ještě před 25.11., kdy byl dopředu daný termín rozhodnutí ministerstva, kdo bude jako kandidát uznaný. Tohle už je jen pokračování té frašky.....................................................................................................................................;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tak hlavně, že jsme chtěli od Kataru plyn, že? Prostě pokrytectví v přímém přenosu 👎👿🤮👹🐍🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;To je skutečně fraška, docela rád bych viděl délku prostoru, který moderátor dává jednotlivým kandidátům. Pan Bašta dostává vždy prostor pro jednu větu a moderátor jí navíc pokaždé okoření nějakým hejtem.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ten pán moderátor je trochu mimoň a je sprostý. Co se děje v Kanadě ohledně covidu? Proboha ten moderátor je hlupák!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Co to meleš o Václavu Havlovi byl to Ráčkovací Blbec co byl z Kolaborantské Famílie Havlových Spolupracovníků s Gestapem a Udavačů na Gestapo Českých Patriotů a Vlastenců České Republiky. Václav Havel prolomil Dekrety Prezidenta Edwarda Beneše Benešovy Dekrety aby se obohatil o Lucernu a Filmové Ateliéry Barandov zabavené jeho Rodině Havlových jako Kolaborantům s Pohlaváry Nacistické Třetí Říše.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Kde generálova složka v Olomouci, co nechte ukázat? Kde je Nerudové manžel, právník, který se toho nehodlá vzdát a jeho právní firma má vazby na Dozimetr? Je to další Minář ? Kde je Fišerova vazba na prominentní Pražáky a kavárnu ? Atd.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ví Bašta že je vůbec v debatě?? Dyt ten chlápek  neřekl ještě ani jednu otázku na co se ho ptal moderátor.  No hlavní je že je nadstranický🤣🤣🤣🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lukáš Bartoň Cadnyman už by ti stál za prd*lí 😀🤦‍♂️ 😀😀😀😀😀😀😀😀😀😀😀😀😀😀 taky jsem musel napsat víc slov, znaků a podobně;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Mě naposledy dojala naše hymna, když jsem ji zpívala v září na Václaváku spolu s desetisíci občany🇨🇿🇨🇿;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Absolutně nezáživná debata. Stále stejné otázky a odpovědi, které denně slyšíme v médiích.Nic nového, co by mě přesvědčilo, koho mám volit. NUDA!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Mateusz Glac ha ha no to je sranda,tak ať vám to zůstane, ale bez vašeho urážení aby se vám to nevrátilo jak bumerang 🤓😛😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Už to začlo tím, že ČT byla jediná, kdo dělal rozhovory s kandidáty ještě před 25.11., kdy byl dopředu daný termín rozhodnutí ministerstva, kdo bude jako kandidát uznaný. Tohle už je jen pokračování té frašky.....................................................................................................................................;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Co je na Bastovi výborného, když ani neslyší,na co se ho ptají? Rozhodili mu sandál hned na začátku o odvolání vlády. Nikdy Bašta prezidentem.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Naopak skvělá práce od pana Řezníčka. Co se dá dělat když pan Bašta odpovídá úplně zcestně.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babiš to je vul a hlavně posera. Hlavně že chce bejt prezidentem ale do debaty nepřijde. Tak co to je za kandidáta,ume je posraneý až na zádech idiot 🤣🤣🤣🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková Bilkova Zemanovi to vyšlo 2x 🤷 tak proč ne. Taktika je taktika.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková Bilkova Tak on není nováček jeho všichni lidé znají a vědí co by dělal a bude dělat. A samozřejmě ví ze by jemu pokládali otázky které už nechce rozebírat.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková BilkovaLenka Šimková Bilkova a vám ta debata připadá přínosná? Mně zatím přesvědčila jen o tom, že žádná výrazná osobnost která by to tady pozvedla a něco změnila, mezi kandidáty není.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková Bilkova Babiš je inteligentní člověk coby tam dělal mezi tou šaškarnou vzpamatuje se.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková Bilkova já si nemyslím, že je posera,ale ví, že by to byla jen debata o Čapím hnízdě,a už všichni za ty roky,co se to vleče víme všechno,;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková Bilkova Vy jste pěkná 🐄. Proč by pan Babiš měl chodit do té žumpy? Hned na začátku bylo vidět komu redaktor fandí. Tak se uklidněte, asi jste pod vlivem, že hulvatko?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Eliška Midlochová babis je podelany az za usima. Proto tam nesel. Vi, ze neumi diskutivat a normalne mluvit. Jakmile to nema napsane svym PR tymem, tak je v koncich. Ale je dobre, ze tam nenim kdo by chtel poslouchat kviceni streleneho podsvincete.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Elizabeth Stastna myslite toho negramotnyho slovaka, ktery co mu nekdo nenapise, tak to nerekne, protoze neumi mluvit a diskutovat.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Josef Kučera Další debil se ozval, že?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Na Pavla jde moderátor opatrně. Ani v jeho rudý knížce nechtěl moc šťourat. Hlavně ho nenechat moc mluvit, co? 😀🤦‍♂️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Problém je, že tu 1 větu neustále opakuje, ať se ho moderátor ptá na cokoliv 😏.......................................................................................................................................................................;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;To není demokratická telelevize to je eurobolševická debata budoucích polykačů Bruselu,Washingtonu ...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Stanislav Jindra A jako předseda ČMKOS se  za nás pere proto je to pro mne jediná možná volba.Do urny z mých rukou jde číslo 3 a za tím si stojím;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Snad Diviš nedostane infarkt 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Koukám, že koule má jen Diviš. Zbytek je nechal doma. Čekal jsem konfrontaci. Ne odpovědi na dotazník redaktora.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Andreas Lassak Zemanů už bylo dost, nejsme v USA :D;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Všichni tam blabolite nesmysly, nikdo kromě pana Bašty nebudete řešit vůbec nic, ani ty energie, všichni chcete válku 😡;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Prober se dos reality. Bašta je zřejmé pod praskama. Je mu položená otázka a on mluví úplně o něčem jiný. Přijde mi že je sjetej.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯👍;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nevolitelní 🙄🙄😒😱😱 Pan BAŠTA ❣️🤗🤗 chce mír a to je důležité!!!🙂😊👍❤️🌷🌹🌺;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ti bych tak dělala taky, ten moderátor mě nebezpečně štve, skáče do řeči, proto tam nepřišel Babiš, nesnáší to. Takže bych taky říkala co chci;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Miluška Kabelková Mír ale znamená to, aby Rusko odešlo z Ukrajiny. Tak se musí vyhnat pryč Rusko a bude klid.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Miluška Kabelková jojo ten si z ústavy hodlá udělat trhací kalendář.. tohle jsme v historii už zažili.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Miluška Kabelková Joo teď ho chce ..na stará kolena že ?A před lety dělal co??Odsouhlasil humanitární bombardování Jugošky že ?A po revoluci vymazával StB složky aby se to nikdo nedozvěděl 😡A atd atd ..🙈😡Nee nadarmo se o něm říká ,že je chameleon.☝️Není komu věřit .😔;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Helena Žďárská Váš komentář mě opravdu rozesmál 😂😂😂😂😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Helena Žďárská takže podle vás a bašty je cesta ústupku k tyranii a bezpraví 🤔 super názor na žalář. Hlavně že pan a očividně vy jste flastenec a podporovatel trussu;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pan Bašta by byl rychle odvolán ohledně svého zdraví jelikož jeho ohýbání ústavy je spíše ukázka toho, že je to magor.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Přepínám,chce se mi blíííít !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🤮🤮🤮🤮🤮🤮🤮  Co si to ten debilni moderátor o sobě myslí? Ty ubožáku, jak si můžeš dovolit někoho ponižovat ty žumpo????? Kolik toho potřebujete ještě vidět???? Vyjímá Bašty, Diviše  tam není jeden rozumný!!! Pavel sem dotáhne Ukrajince, Nerudová, ta žumpa to samé!!! Ke zbytku se raději nevyjadřuji! 🤮🤮🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Alespoň že Diviš teď dostal vlastní prostor na svoji vizi, jinak by tam vážně neměl šanci toho moc co říct;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Kandidátům slepence Řezníček dává moc lehké a jednoduché otázky..........................................................................Není k nim kritický;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Dobrá divadelní komedie, příště bych si koupil taky lístek.....dlouho jsem se tak nepobavil...🤣🤣🤣🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;SPD...pomatenec smííííííííííííííííííííích......co  jste  to  navrhli  tééééééééééééé  peklo  a  i  ty  ostatní   ani  jeden  není  hoden  jít  na  Hrad...jen  samý  dermakol  na  hubě...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Miloš Zeman nazval velice správně Čučkaře s BIS velice dobře že neudělil vyznamenání a jmenování Generálem dvojitého Agenta Krtka Pentagonu CiA v BIS. Každopádně výbuch Muničního Skladu ve Vrběticích nebylo od Agentů Ruské Rozvědky GRU. Bylo to hlavně na vyřazení Rusů a Číny s Tendru na dostavbu Temelína a Dukovan.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Prober se dos reality. Bašta je zřejmé pod praskama. Je mu položená otázka a on mluví úplně o něčem jiný. Přijde mi že je sjetej.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Proč tam není někdo normální protože nad naší vládu a nad tu špínu si nikdo sednout nechce ….;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️ Nonstop deadly speaking Terminátor Nonstop deadly speaking Terminátor detected warning warning warning warning ⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯👍;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Mateusz Glac a vaše komentáře jsou jistě podle předlohy pětižumpy... čili vymytých mozků 🤣🤣🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️ Nonstop deadly speaking Terminátor Nonstop deadly speaking Terminátor detected warning warning warning warning ⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️ Nonstop deadly speaking Terminátor Nonstop deadly speaking Terminátor detected warning warning warning warning ⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️ Nonstop deadly speaking Terminátor Nonstop deadly speaking Terminátor detected warning warning warning warning ⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pán Bašta je úplně mimo🤦, Diviš to teda rozjel 😄 generál se neprojevuje, Nerudová se připravila má to naučené i když se Diviš do ní pěkně obul. Stredula nějak nevím, Fischer pro mě neprijemnej, Zima je celkem dobrej;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Senát je zbytečnou institucí a vy jste toho živoucím důkazem. Zbytečně placená instance s kapes Českých Občanů Dańových poplatníků.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ty rádoby debaty jsou prakticky o ničem... Stejné ohrané otázky už 100 omýlané....................................................................;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️ Nonstop deadly speaking Terminátor Nonstop deadly speaking Terminátor detected warning warning warning warning ⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert Red alert🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️ Nonstop deadly speaking Terminátor Nonstop deadly speaking Terminátor detected warning warning warning warning ⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jasně, je dobré využít veřejný prostor alespoň teď. Ale lidi i vzdelani jsou slepí a bl.... Vize...vize... Ale od koho budeme dovážet suroviny, které v Evropě nejsou. Na to se moderátor nezeptá. Hlavně Nerudka má vizi, že Rusko a cina ne!!! Tak kde je vezmeme?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babiš to je vul a hlavně posera. Hlavně že chce bejt prezidentem ale do debaty nepřijde. Tak co to je za kandidáta,ume je posraneý až na zádech idiot 🤣🤣🤣🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;detected warning warning warning warning ⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️🚨🚨🚨⚠️⚠️⚠️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nevolitelní 🙄🙄😒😱😱 Pan BAŠTA ❣️🤗🤗 chce mír a to je důležité!!!🙂😊👍❤️🌷🌹🌺;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pavel Spinne jakoze docasna pritomnost ukrajinskych a americkych vojsk na furt? 🤔;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Bašta chce bránit svobodu projevu a proto na stránkách SPD banujou každého, kdo si dovolí nesouhlasit s těmi jejich bláboly.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tady v těch debatách všechny  naslibují cokoliv a jak usednout ke korytu,tak otočí❗❗❗ Příkladem je Petr Fiala ❗❗❗😠🤮🤮🤮🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Bašta 👍🤝🇨🇿🇨🇿🤝🇨🇿🤝🇨🇿🇨🇿🤝🇨🇿🤝🇨🇿👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🤝🤝🇨🇿🇨🇿🇨🇿;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;By mě zajímalo jak se podlé Bašty omezuje svoboda slova?Mysli Okamuruv Facebook  kde je stoprocentní cenzura?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Svoboda slova v rámci mezích zákona, souhlas…Sociální směr byl znovu nastolen? :D Co si pod tím mám představit?😄;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pro netahla chřadne, pro normální lidi vzkvétá... Vládnou nám ti, který jsme si zvolili a vládnou dobře...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ti bych tak dělala taky, ten moderátor mě nebezpečně štve, skáče do řeči, proto tam nepřišel Babiš, nesnáší to. Takže bych taky říkala co chci;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Velká většina kandidátů ukazuje, jak je naše politika mimo realitu. Tohle je smutná ukázka marasmu v kterém žijeme. Arogantního vládnutí, ignorance potřeb lidí. Proto budu volit Středulu.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Miluška Kabelková Mír ale znamená to, aby Rusko odešlo z Ukrajiny. Tak se musí vyhnat pryč Rusko a bude klid.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Máte pravdu musíme řešit ty Země co porušují Občanská práva ale i ty které Okupují jiné Země tedy USA NATO které v tom mají bohatou zkušenost.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;To, co se odehrává není debata kočírovaná moderátorem, ale výslech  moderátorem. Co už se dá od ČT jiného očekávat.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ano blábolů je dost,ale mladej má trapné obyčejné nezáživnè otázky ,hodně jednoduché ,které neřeší stěžejní situaci v Česku !!I Od prezidenta , kandidáta na prezidenta se musí očekávat daleko více;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková Bilkova Zemanovi to vyšlo 2x 🤷 tak proč ne. Taktika je taktika.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;"Je těžké řídit debatu s kandidáty, kteří po položení otázky začnou okamžitě mluvit o něčem úplně jiném. Pak je moderátor musí směrovat zpět k dotazu, proto tam je. Pokud by odpověděli na otázku nebo alespoň mluvili k tématu, tak by jim ""skákat"" do řeči nemusel.";Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nestudovali jste svoje role už v zákulisí, než jste nastoupili na podium před silně mlčící obecenstvo? A guru Řezníček vás pěkně ukočíroval a řídil. Je mi smutno z této rádoby debaty.🤔😅;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A už nechci platit ČT poplatky. Ať si je platí pětikolka. Čt by měla být nestranná. Ale Řezníček? Není nic podlejšího, než pomlouvat a útočit na nepřítomné. Ještě že tam byl Diviš. Ten to srovnal.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Mně to příjde ,že v téhle zemi může dělat prezidenta i PEPEK VYSKOČ z Dobrého vojáka Švejka🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lenka Šimková Bilkova Tak on není nováček jeho všichni lidé znají a vědí co by dělal a bude dělat. A samozřejmě ví ze by jemu pokládali otázky které už nechce rozebírat.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba Danuše je jasná volba;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Eva Litvíková Barčáková a vite o tom, ze tohle nejsou ukrajinske volby a Zelensky nekandiduje?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
